"LZM_Index","Title_Unit","Course_Formats","Language","Date","Version","License","RDMT_Proficiency_Level","LZM_Learning_Objective","Learning_Ressource","PID_URL","Consortia","Learning_Methods","Acessibility","FAIR","Duration","P_Libraries","P_Language","Datatypes","Tool_Software","Dataformat_Course","Plattform_Implementation","","","","","","","","","","","","",""
"Basic data terms and significance of research data management (RDM)","DATA AFFAIRS - Datenmanagement in der ethnografischen Forschung","Online; self-paced","de","2023","1","CC BY-SA 4.0","novice /advanced beginner","NN","Module","https://histocat.uni-trier.de/#/document/54","NFDI4Memory","NN","NN","NN","NN","NN","NN","NN","NN","NN","NN","","","","","","","","","","","","",""
"Basic data terms and significance of research data management (RDM)","DATA AFFAIRS - Einführung in das Forschungsdatenmanagement","Online; self-paced","de","2023","1","CC BY-SA 4.0","novice /advanced beginner","NN","Module","https://histocat.uni-trier.de/#/document/49","NFDI4Memory","NN","NN","NN","NN","NN","NN","NN","NN","NN","NN","","","","","","","","","","","","",""
"Copyright law","Urheberrecht und Lizenzierung bei Forschungsdaten","Online; self-paced","de","2021","1","CC BY-SA 4.0","Einsteiger:innen -> novice /advanced beginner","NN","NN","https://zenodo.org/records/5243232 ","NFDI4Memory","NN","NN","NN","NN","NN","NN","NN","NN","NN","NN","","","","","","","","","","","","",""
"Data integration","Abgleich 'unsauberer' Ortsnamen mit der GND in OpenRefine ","Online: Video","de","2023","NN","Youtube-Lizenz","novice/advanced beginner","NN","NN","https://histocat.uni-trier.de/#/document/43","NFDI4Memory","NN","NN","NN","NN","NN","NN","NN","NN","NN","HTML","","","","","","","","","","","","",""
"Data management plan","DATA AFFAIRS - Datenmanagementplan","Online; self-paced","de","2023","1","CC BY-SA 4.0","novice /advanced beginner","NN","Module","https://histocat.uni-trier.de/#/document/46","NFDI4Memory","NN","NN","NN","NN","NN","NN","NN","NN","NN","HTML","","","","","","","","","","","","",""
"Data management plan","DATA AFFAIRS - Nachnutzung","Online; self-paced","de","2023","1","CC BY-SA 4.0","novice /advanced beginner","NN","Module","https://histocat.uni-trier.de/#/document/51","NFDI4Memory","NN","NN","NN","NN","NN","NN","NN","NN","NN","HTML","","","","","","","","","","","","",""
"Data security","DATA AFFAIRS - Datensicherheit","Online; self-paced","de","2023","1","CC BY-SA 4.0","novice /advanced beginner","NN","Module","https://histocat.uni-trier.de/#/document/47","NFDI4Memory","NN","NN","NN","NN","NN","NN","NN","NN","NN","NN","","","","","","","","","","","","",""
"Data storage","DATA AFFAIRS - Datenspeicherung","Online; self-paced","de","2023","1","CC BY-SA 4.0","novice /advanced beginner","NN","Module","https://histocat.uni-trier.de/#/document/41","NFDI4Memory","NN","NN","NN","NN","NN","NN","NN","NN","NN","HTML","","","","","","","","","","","","",""
"Data types","Python-fuer-Historiker-innen","Online; self-paced","de","2022","1","CC BY-SA 4.0","novice/advanced beginner","02_015_0540
02_015_0541
02_015_0542
02_015_0543
02_015_0544
02_015_0545","Jupyter Notebook; ","https://github.com/Digital-History-Berlin/Python-fuer-Historiker-innen/tree/v1.0","NFDI4Memory","NN","NN","NN","NN","NN","Python","NN","Anaconda","zip; ","GitHub","","","","","","","","","","","","",""
"File naming","DATA AFFAIRS - Dateibenennung","Online; self-paced","de","2023","1","CC BY-SA 4.0","novice /advanced beginner","NN","Module","https://histocat.uni-trier.de/#/document/45","NFDI4Memory","NN","NN","NN","NN","NN","NN","NN","NN","NN","NN","","","","","","","","","","","","",""
"Folder structures","DATA AFFAIRS - Ordnerstruktur","Online; self-paced","de","2023","1","CC BY-SA 4.0","novice /advanced beginner","NN","Module","https://histocat.uni-trier.de/#/document/52","NFDI4Memory","NN","NN","NN","NN","NN","NN","NN","NN","NN","NN","","","","","","","","","","","","",""
"Good scientific practice","DATA AFFAIRS - Forschungsethik und Datenethik","Online; self-paced","de","2023","1","CC BY-SA 4.0","novice /advanced beginner","NN","Module","https://histocat.uni-trier.de/#/document/50","NFDI4Memory","NN","NN","NN","NN","NN","NN","NN","NN","NN","NN","","","","","","","","","","","","",""
"Licencing","DATA AFFAIRS - Rechte und Lizenzen","Online; self-paced","de","2023","1","CC BY-SA 4.0","novice /advanced beginner","NN","Module","https://histocat.uni-trier.de/#/document/53","NFDI4Memory","NN","NN","NN","NN","NN","NN","NN","NN","NN","NN","","","","","","","","","","","","",""
"Programming","Python-fuer-Historiker-innen","Online; self-paced","de","2022","1","CC BY-SA 4.0","novice/advanced beginner","02_015_0540
02_015_0541
02_015_0542
02_015_0543
02_015_0544
02_015_0545","Jupyter Notebook; ","https://github.com/Digital-History-Berlin/Python-fuer-Historiker-innen/tree/v1.0 ","NFDI4Memory","NN","NN","NN","NN","NN","NN","NN","Anaconda","zip; ","GitHub","","","","","","","","","","","","",""
"Programming","Python-fuer-Historiker-innen","Online; self-paced","de","2022","1","CC BY-SA 4.0","novice/advanced beginner","02_015_0540
02_015_0541
02_015_0542
02_015_0543
02_015_0544
02_015_0545","Jupyter Notebook; ","https://github.com/Digital-History-Berlin/Python-fuer-Historiker-innen/tree/v1.0 ","NFDI4Memory","NN","NN","NN","NN","NN","NN","NN","Anaconda","zip; ","GitHub","","","","","","","","","","","","",""
"Research data life cycle","ForTEXT. Literatur digital erforschen","Course","de","2017","NN","CC BY-SA 3.0","novice /advanced beginner","NN","NN","https://histocat.uni-trier.de/#/document/56","NFDI4Memory","NN","NN","NN","NN","NN","NN","NN","NN","NN","NN","","","","","","","","","","","","",""
"Archiving","Maximizing the Potential of Microbial Research Data","Workshop","en","2025","NN","NN","NN","NN","Workshop","https://www.denbi.de/training-courses-2025/1832-maximizing-the-potential-of-microbial-research-data-strategies-for-effective-management-and-utilization","NFDI4Microbiota","NN","NN","NN","NN","NN","NN","NN","NN","NN","NN","","","","","","","","","","","","",""
"Basic data terms and significance of research data management (RDM)","Awareness in Data Management and Analysis for Industry and Research","Workshop","en","2025","NN","NN","NN","NN","Workshop","https://www.cecam.org/workshop-details/awareness-in-data-management-and-analysis-for-industry-and-research-1452","NFDI4Microbiota","NN","NN","NN","NN","NN","NN","NN","NN","NN","NN","","","","","","","","","","","","",""
"Basic data terms and significance of research data management (RDM)","Introduction to Research Data Management","Lecture","en","2025","NN","NN","beginners","NN","Leccture","https://www.nfdi4earth.de/?view=article&id=366&catid=9","NFDI4Microbiota","NN","NN","NN","NN","NN","NN","NN","NN","NN","Zoom","","","","","","","","","","","","",""
"Basic data terms and significance of research data management (RDM)","Introductory Lecture on Research Data Management ","Lecture","en","2022","NN","NN","NN","NN","Lecture","https://www.zbmed.de/en/about/press/latest-news/article/einfuehrung-fdm0/","NFDI4Microbiota","NN","NN","NN","NN","NN","NN","NN","NN","NN","NN","","","","","","","","","","","","",""
"Basic data terms and significance of research data management (RDM)","Lecture on Research Data Management","Lecture","en","2024","1","CC BY-SA 4.0","NN","NN","Lecture","https://zenodo.org/records/16794017","NFDI4Microbiota","NN","NN","NN","NN","NN","NN","NN","NN","PDF; pptx","NN","","","","","","","","","","","","",""
"Basic data terms and significance of research data management (RDM)","Research data management: how to start and maintain a project","Workshop","en","2024","NN","NN","NN","NN","Workshops","https://biont-training.eu/CarpentryConnect2024.html","NFDI4Microbiota","NN","NN","NN","NN","NN","NN","NN","NN","NN","NN","","","","","","","","","","","","",""
"Consultancy","Strategies for training and knowledge exchange with a consulting perspective","Workshop","en","2024","NN","NN","NN","NN","NN","https://www.cecam.org/workshop-details/strategies-for-training-and-knowledge-exchange-with-a-consulting-perspective-1361","NFDI4Microbiota","NN","NN","NN","NN","NN","NN","NN","NN","NN","NN","","","","","","","","","","","","",""
"Data analysis","A practical introduction to bioinformatics and RNA-seq using Galaxy","Workshop","en","2024","NN","NN","Beginners/Advanced Professionals","NN","Workshop","https://www.cecam.org/workshop-details/a-practical-introduction-to-bioinformatics-and-rna-seq-using-galaxy-1359","NFDI4Microbiota","NN","NN","NN","NN","NN","NN","NN","NN","NN","NN","","","","","","","","","","","","",""
"Data analysis","Joint NFDI & de.NBI Metagenomic Training Course 2025","Workshop","en","2025","NN","NN","Beginners","NN","Workshop","https://events.hifis.net/event/2169/","NFDI4Microbiota","NN","NN","NN","NN","NN","NN","NN","NN","NN","NN","","","","","","","","","","","","",""
"Data analysis","Joint NFDI4Microbiota/ELIXIR-DE Metagenomics training course","Course","en","2022","NN","NN","NN","NN","NN","https://www.uni-giessen.de/de/fbz/fb08/Inst/bioinformatik/Education/courses/content/nfdi_metagenomics2022","NFDI4Microbiota","NN","NN","NN","NN","NN","NN","NN","NN","NN","NN","","","","","","","","","","","","",""
"Data analysis","NFDI4Microbiota and de.NBI 16S amplicon training course (Oct 22nd-24th 2025)","Workshop","en","2025","NN","NN","NN","NN","Workshop","https://www.uni-giessen.de/de/fbz/fb08/Inst/algorithm-bioinformatik/teaching/workshops/n4m_2025","NFDI4Microbiota","NN","NN","NN","NN","NN","NN","NN","NN","NN","NN","","","","","","","","","","","","",""
"Data documentation","Data Documentation","Workshop","en","2025","1","CC BY-SA 4.0","NN","NN","NN","https://zenodo.org/records/16759147","NFDI4Microbiota","NN","NN","NN","NN","NN","NN","NN","NN","NN","NN","","","","","","","","","","","","",""
"Data documentation","Electronic Lab Notebooks (ELNs)","Workshop","en","2024","1","CC BY-SA 4.0","NN","NN","Workshop","https://zenodo.org/records/10792065","NFDI4Microbiota","NN","NN","NN","NN","NN","NN","NN","NN","PDF","NN","","","","","","","","","","","","",""
"Data documentation","NFDI4Microbiota Online Seminar on Electronic Lab Notebooks (ELNs)","Seminar","en","NN","NN","NN","NN","NN","NN","https://us02web.zoom.us/meeting/register/tZcrdu2rrDooGdDUSZMM4VcF6l8sxYJXnhb_","NFDI4Microbiota","NN","NN","NN","NN","NN","ELN","NN","NN","NN","NN","","","","","","","","","","","","",""
"Data documentation","Transforming Microbial Research Data Management with Electronic Laboratory Notebooks","Workshop","en","2025","NN","NN","NN","NN","Workshop","https://www.denbi.de/training-courses-2025/1833-transforming-microbial-research-data-management-with-electronic-laboratory-notebooks-elns","NFDI4Microbiota","NN","NN","NN","NN","NN","ELN","NN","NN","NN","NN","","","","","","","","","","","","",""
"Data publication","Data Sharing & Publishing","Workshop","en","2024","1","CC BY-SA 4.0","NN","NN","Workshop","https://zenodo.org/records/16792999","NFDI4Microbiota","NN","NN","NN","NN","NN","NN","NN","NN","PDF; pptx","NN","","","","","","","","","","","","",""
"Databases","A new look for BacDive: Discover the new design and the upcoming genome browser feature","Workshop","en","2025","NN","CC BY-SA 4.0","NN","NN","NN","https://beta.bacdive.dsmz.de/","NFDI4Microbiota","NN","NN","NN","NN","NN","SQL","NN","NN","NN","NN","","","","","","","","","","","","",""
"Didactics","Carpentries Workshop - Introduction to Plotting and Programming in Python","Workshop","en","2025","NN","NN","NN","NN","Workshop","https://dkz2r.github.io/2025-03-17-python-workshop/","NFDI4Microbiota","NN","NN","NN","NN","NN","NN","NN","NN","NN","NN","","","","","","","","","","","","",""
"Didactics","Software Carpentry Workshop","Workshop","en","2025","NN","NN","NN","NN","Workshop","https://zbmed.github.io/2025-05-12-Software_Carpentry_ZB_MED/","NFDI4Microbiota","NN","NN","NN","NN","NN","NN","NN","NN","NN","NN","","","","","","","","","","","","",""
"Didactics","Training Guidelines","Online; self-paced","en","2025","NN","CC BY-SA 4.0","NN","NN","NN","https://knowledgebase.nfdi4microbiota.de/How-We-Operate/training-guidelines.html","NFDI4Microbiota","NN","NN","NN","NN","NN","NN","NN","NN","Markdown","NN","","","","","","","","","","","","",""
"Didactics","Trends in multi-omics data analysis for Microbial Ecology and Biotechnology","Workshop","en","2025","NN","NN","Beginners/Advanced Professionals","NN","Workshop","https://www.ufz.de/index.php?en=47299","NFDI4Microbiota","NN","NN","NN","NN","NN","NN","NN","NN","NN","NN","","","","","","","","","","","","",""
"FAIR-principles","Code & Collaborate: The FAIRytale of Software Development","Workshop","en","2025","NN","NN","NN","NN","Workshop","https://www.cecam.org/workshop-details/code-collaborate-the-fairytale-of-software-development-1447","NFDI4Microbiota","NN","NN","NN","NN","NN","NN","NN","NN","NN","NN","","","","","","","","","","","","",""
"Forschungsdatenmanagement (FDM)-Policies","Web-based Bioinformatics & Research Data Management","Workshop","en","2025","NN","NN","NN","NN","Workshop","https://pretix.eu/synmikro/tecmeth-bioinfo/","NFDI4Microbiota","NN","NN","NN","NN","NN","NN","NN","NN","NN","NN","","","","","","","","","","","","",""
"Issues in research data management (RDM)","Awareness in Data Management and Analysis for Industry and Research","Workshop","en","2024","NN","NN","NN","NN","Workshop","https://www.cecam.org/workshop-details/1349","NFDI4Microbiota","NN","NN","NN","NN","NN","NN","NN","NN","NN","NN","","","","","","","","","","","","",""
"Metadaten","Workshop on Metadata Quality Control","Workshop","en","2025","1","CC BY-SA 4.0","NN","NN","Workshop; Lectur","https://zenodo.org/records/16875139","NFDI4Microbiota","NN","NN","NN","NN","NN","NN","NN","NN","PDF","NN","","","","","","","","","","","","",""
"Ontologien","Hands-on Biometadata: How to describe biological data? primer to a FAIR approach for now and future","Workshop","en","2025","NN","CC BY-SA 4.0","NN","NN","Workshop","https://events.hifis.net/event/2671/","NFDI4Microbiota","NN","NN","NN","NN","NN","NN","NN","NN","NN","NN","","","","","","","","","","","","",""
"Programming","LaTeX Basics","Seminar","en","NN","NN","NN","NN","NN","NN","https://www.rna.uni-jena.de/studium/lehre","NFDI4Microbiota","NN","NN","NN","NN","NN","NN","NN","NN","NN","Moodle","","","","","","","","","","","","",""
"Programming","Bash course","Workshop","en","NN","NN","NN","NN","NN","NN","https://www.rna.uni-jena.de/studium/lehre/","NFDI4Microbiota","NN","NN","NN","NN","NN","NN","NN","NN","NN","Moodle","","","","","","","","","","","","",""
